NAME,CLUB,LEAGUE,POSITION,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL
Farouk Ben Mustapha,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Aymen Mathlouthi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Mouez Hassen,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Hamdi Nagguez,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Dylan Bronn,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ali Maâloul,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Syam Ben Youssef,Kasimpaşa SK,Süper Lig,CB,72.0,69.0,62.0,70.0,73.0,65.0,58.0
Oussama Haddadi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Yassine Meriah,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Rami Bedoui,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Yohan Benalouane,Leicester City,Premier League,CB,75.0,77.0,55.0,72.0,77.0,66.0,69.0
Anice Badri,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ferjani Sassi,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Mohamed Amine Ben Amor,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ellyes Skhiri,Montpellier Hérault SC,Ligue 1,CDM,74.0,86.0,65.0,71.0,80.0,67.0,68.0
Saîf-Eddine Khaoui,ESTAC Troyes,Ligue 1,CAM,70.0,69.0,67.0,56.0,70.0,25.0,64.0
Ghailene Chaalali,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Saber Khalifa,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Ahmed Khalil,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Wahbi Khazri,Stade Rennais FC,Ligue 1,CAM,82.0,91.0,77.0,80.0,87.0,50.0,60.0
Fakhreddine Ben Youssef,,,,73.32,71.0,59.87,64.19,68.7,54.35,69.77
Bassem Srarfi,OGC Nice,Ligue 1,RW,68.0,78.0,60.0,65.0,71.0,51.0,56.0
Naïm Sliti,Dijon FCO,Ligue 1,LM,72.0,72.0,60.0,70.0,75.0,60.0,66.0
